film_key,review_clean
Winter Light (1963),"""If there was no God, would it really make a difference"" One thing shared between Schrader's First Reformed and Bergman's Winter Light is their unequivocal bleakness. Bergman makes use of a painful silence, to push the feeling of cynicism and hopelessness towards humanity even further than Schrader did. Though First Reformed captured the theme of sin and vice better than Winter Light did, Bergman's film shows the loss of the comfort of faith through skepticism of God's existence in a more poignant manner, and his exploration into the inner turmoil of a man who sees himself as a living contradiction is deeply powerful. While I do prefer Schrader's more extensive study into the sinful actions of humanity as well as the secularism of religion, Bergman achieves most of this in only 80 minutes, which is undeniably impressive."
Tetsuo: The Iron Man (1989),A twisted amalgam of surrealist body-horror and the metamorphosis of technology to create an otherworldly atmosphere.
Psycho (1960),"Hitchcock's direction and camerawork is obviously incredibly good, but what makes Psycho work for me is Anthony Perkins' outrageously brilliant performance, bringing to life one of the most iconic villains in all of film."
Close-Up (1990),"Close-Up is an introspective character study of an impoverished man posing as famed director Mohsen Makhmalbaf in order to gain respect from others. Kiarostami allows the people from the real-life case play as themselves, adding a whole new layer of depth to people otherwise fairly unknown. This makes the film feels even more natural and human, complemented thoroughly by the editing and direction. Kiarostami provides a platform for Hossain Sabzian to explain his actions, as to why he'd rather represent himself as another, more accomplished man than himself. The film is not only a deconstruction of the influence of cinema on people, but an investigation, not dissimilar to Farazmand's journalistic process, into those same people, and their dreams, desires and motivations."
Porco Rosso (1992),"""A pig's gotta fly"""
Pulse (2001),"Pulse makes use of sepulchral, brutalist Japanese architecture and a masterful use of light, or lack thereof, to enforce an air of terror. I appreciate the fact that Kurosawa's trusts the audience's intelligence enough as to not spell everything out for them. Keeping things vague and mysterious only adds to the horror further. There are some scenes in this film that are honestly so petrifying that they will be etched into my mind forever. Apparitions hide as shadows which bleed into the darkness. Ghosts are the embodiments of the loneliness we feel in life, which are forced to continue to walk the Earth, cursed to live with this eternal solitude into death. As the usage of technology rises, meaningful connections collapse, and we lose those closest to us to the darkness. One of the brilliant ways Kurosawa decides to convey this loneliness is by making the film very empty. Not only is it mostly devoid of colour, but it's also devoid of crowds of people: the public transport has nobody on it, and neither do the streets. Even the sound design flippantly goes between a harsh, screeching score to completely nothing in the following scene. He uses the internet as a system- a means of connection between people that slowly collapses, causing more and more people to succumb to the emptiness, and causing the flashing and jarring glitches of footage to become more frequent. This results in the enigmatic finale, where all collapses around our protagonists, as they attempt to escape amidst the chaos. Kiyoshi Kurosawa knows exactly how to make his films feel as haunting as possible, and Pulse is no exception to that, with every scene as terrifying as the last."
Alien Resurrection (1997),"Just when I thought the Alien franchise couldn't get much worse after Alien³ , Alien Resurrection comes around to prove me wrong. It's riddled with awful filmmaking decisions and terrible, misogynistic dialogue, of course a symptom of Joss Whedon's pathetic writing. Sigourney Weaver and Winona Ryder do their best to try and rescue what little they can of this dreadful film, but it's simply not enough. They should have just left Ripley to die and let her escape this franchise. The special effects were half decent at least, which made parts of the film a little entertaining. On the bright side, at least I get to watch Prometheus next, hopefully Ridley Scott can offer some redemption."
"Paris, Texas (1984)","At least Paris, Texas has the added bonus of not having any French people there."
Mistress America (2015),"The Noah Baumbach and Greta Gerwig combo remains undefeated in this 84 minute theatrical manifestation of the millennial experience in a big city. Brooke and Tracy are both young, ambitious women aiming to fulfil their ambitions while also trying to figure themselves out. Baumbach uses his quintessential fast paced dialogue to make us feel like these relationships have been going on for much longer than they appear, which proves to be both a positive and a negative in Mistress America, as while it feels in tune with a present day conversational experience with an abundance of cross talking and redundant verbiage, it ultimately makes some of the less recurrent characters such as Brooke feel slightly underwritten. As a result, the ending sequence feels a bit rushed, which another 15 to 20 minutes would have fit nicely. In spite of this, the dialogue and the characters make Mistress America one of Baumbach's most enjoyable films, with sharp-witted comedic moments well balanced with the more hard-hitting ones. While it may come across a little cheesy or pretentious at times, I feel this fits in well with the characters and makes sense for the kind of vibe the film is going for. Lola Kirke does well in her role, and the chemistry in the scenes with Gerwig's character is where she really shines."
The Face of Another (1966),"Visually, The Face of Another is unbelievably well done, with Hiroshi Teshigahara leaving me mind-boggled at times with how he pulled off some of these complex shots. As for the films themes, it pulls off its ideas about identity and self well, but without a whole lot of nuance. With most of the dialogue being solely about the mask, it's hard to focus on much else. It doesn't take much of a break from it's nihilistic sentiment either, which can lead to the film dragging at times, especially in the second half. While I do very much appreciate Teshigahara's intention and craftsmanship, as well as Segawa's beautiful cinematography, The Face of Another just feels a little empty to me, and goes on for a bit too long."
8½ (1963),"Federico Fellini's 8 1/2 is perhaps one of the most self-referential, meta films I've seen, as it is itself a film about an artist's inability to create, told by an artist who is unable to create. A filmmaker whose lack of inspiration becomes his inspiration. A cinematic personification of procrastination. 8 1/2 is so self-referential in fact, that its very title is a reference to the number of films Fellini had created up until that point. Marcello Mastroianni plays Fellini's alter ego, Guido Anselmi, an artist strained by his shortcomings as a man and as a filmmaker. He continues to be troubled by the ghosts of his past, fading in and out of dreams until his motivations in those become indistinguishable from those of his current reality. Both cinematographer Gianni Di Venanzo and composer Nino Rota work in unison to create an illusive atmosphere, with the popping bright white canvases and symphonies of classical music painting the background of the film. While the first half didn't grab me entirely, the second half blew me away, and there's no doubt in my mind that there's something in everyone that can relate to parts of 8 1/2 , and on repeat viewings, I can only see that feeling growing."
City of God (2002),"City of God feels way longer than its 130 minute runtime, but this in no way is a criticism of its pacing or excitement. In fact, it is a testament to how much it accomplishes in that time. Fernando Meirelles and Kátia Lund paint a perfect portrait of the lives of these impoverished Brazilian kids living in the favelas of Rio de Janeiro. Children living in a godless hell where every action is shrouded in the ulterior motives of revenge or climbing up the ladder of power. ""Why return to the City of God, where God forgets about you?"""
Yi Yi (2000),"Edward Yang's Yi Yi is no doubt a momentous film, much more than the familial drama it appears to be. Sean Baker described the film as almost being a period piece, despite it being released only just over 20 years ago. I agree with this sentiment wholeheartedly; Yang elegantly depicts Taipei's modernistic development for the time as the 20th century turned to the 21st. As a result, this development has changed so incredibly rapidly since then, leaving Yi Yi feeling like a foregone relic. Yet, in a time of accelerated growth and connections, it's themes are more pertinent than ever. In the film, the Grandmother slips into a coma after suffering a stroke. Each family member comes to her in their own time and confesses their truths, knowing full well they won't receive an answer. This exchange represents the matriarchal values of a past time, and showing us, the viewer, the afflictions these individuals are experiencing throughout different stages of life. These individuals are connected not only by familial relation, but by the choices that they have or haven't made. The older generation reflect on their choices from what feels like a previous life, seeing whether the things they left behind were worth it. Meanwhile, the children are making all these decisions for the first time, following in the footsteps of the adults they believe to have all the answers. Yi Yi 's narrative spans generations, holding focus on the little, fleeting moments we may forget as a kid, and contrasting these with the big decisions we have to face as an adult. To tie these stories together, Yang begins Yi Yi at a wedding, and ends it at a funeral. As I said before, Yi Yi is a momentous film, and I could write pages upon pages analysing it's complex characters and brilliant narrative, but I think it's best to just experience it for yourself."
Yojimbo (1961),"Yojimbo was actually pretty goofy and funny, not quite what I expected of a Kurosawa film but it was a welcome surprise. Contrast this with the violence spouted from the gang war, and you get a excellent blending of themes that isn't easy to accomplish. It's clear to see Yojimbo 's influence on the westerns that followed, even though I haven't seen many (besides Star Wars of course), as well as Kurosawa's influence on film in general. Excited to see what Sanjuro brings, because I really enjoyed Toshirō Mifune's performance in this."
Harold & Kumar Go to White Castle (2004),"This film is absolutely braindead and I love it. I can only imagine how much better these stoner comedies would be if I was actually high while watching them, but I gotta say, this ranks pretty high on that list. See what I did there?"
Good Morning (1959),Uh oh... stinky.
Broadcast News (1987),"There was a time in my life where I wouldn't have given a romantic comedy a chance, half expecting to be run down by a bombardment of clichés and kitschy melodrama, but I'm glad I've taken a turn since then, otherwise I wouldn't be able to appreciate the brilliance of films like Broadcast News . With a charming ensemble cast, and a superb screenplay by James L. Brooks, Broadcast News manages to expertly achieve the classic romantic love triangle trope without it feeling banal. As well as this, it manages to serve as a unique story of ambition over desire; trying to balance what you want with what will get you the furthest. It does this brilliantly through the medium of media, contrasting the way someone portrays themselves behind a camera to how they are in front of one. What truly makes Broadcast News work, however, is the cast. Holly Hunter, Albert Brooks and William Hurt are all phenomenal and give all timer performances that I won't soon forget. Hunter in particular was just wonderful every time she was on screen, delivering the exceptional dialogue with a charisma that is ever so delightful to see."
Knight of Cups (2015),"Much like the other Terrence Malick films I've seen, Knight of Cups is undeniably gorgeous. Lubezki's cinematography is second to none, and truly adds a whole new layer of introspection to the film. The camera wanders endlessly as a silent observer. Much the same, Rick has felt like an outside observer to his own life, watching the years tick away with wealth, power and mangled relationships. You definitely need to be in the right sort of headspace to watch a Malick flick. They are so deeply rooted in allowing the viewer to join the characters on their journey, empathising with their experience. Depending on how you're feeling, Knight of Cups could feel like a glorified perfume commercial, or it could feel like a deep deconstruction of self, with glorious cinematography and a beguiling sense of contemplation."
Sympathy for Mr. Vengeance (2002),PCW simply does not miss.
Whisper of the Heart (1995),"It's so easy to find something to relate to in Ghibli films, no matter what stage of life you're at, which is, I assume, part of the reason they're so beloved. It's difficult trying to figure out how to balance what you have to do with what you want to do. Finding the time for both is no easy task, and Whisper of The Heart demonstrates that perfectly. As for the animation, it's almost like they're showing off here because it's just that good. From the sun rising amidst the city skyline to simply the train moving along the tracks, there's a meticulous level of detail in every frame, which just shows the love and care that goes into making these films. For now, Whisper of The Heart is my favourite Ghibli."
Win It All (2017),Probably the most convenient heart attack of all time.
Petite Maman (2021),"I can't really put into words how much I loved Petite Maman. It's a film where emotions can only be explained by experiencing them. It's weird how much time we spend with our parents without ever really getting to know them. Whether things are better left unsaid or not, we only ever really obtain these small snippets of their lives through stories. Céline Sciamma has such a skill for bringing these stories to life through her films, and I adored every second of this one."
High and Low (1963),"High and Low is a film as deceptively simple as its title. Toshirō Mifune nails his portrayal of a more modern man, and Kurosawa's stab at noir is everything I could have hoped for and more. We start the film in the house, which sits on the hill above the rest of the city, of business magnate Kingo Gondo, as he argues with his fellow shareholders about a potential takeover of the company. Later on, he gets a phone call saying his son has been kidnapped. Kurosawa uses scene framing perfectly here to make us feel suffocated, crowding people together in small spaces to create tension. Once it becomes apparent that the kidnapper took the wrong child, a conflict arises, presenting Gondo with the moral dilemma of whether he would do the same for the chauffeur's son that he would do for his own. This decision creates a sense of high and low in terms of status: whether the chauffeur's son's life is worth as much as a wealthy businessman's. We spend the first half of the film almost exclusively in Gondo's house, never seeing things from the kidnapper's perspective, until a point where the film becomes a police procedural, with the entire force gathered trying to figure out ways to catch the kidnapper. We see the city from a lower point, amidst the poorer folk, while Gondo's house is visible from above it all, much in the same way as Mount Fuji is seen as this constant presence. Slowly, we begin to see more from the kidnapper's perspective, instead of him just being a voice behind the phone. Alongside the police investigation, we as the viewer also feel like we're learning more about the kidnapper's identity, until the very end of the film, where he reveals all in an outburst of frustrated emotion and he's taken away by authorities, until we're left with Gondo's reflection, heralded for his actions by the public but nevertheless reduced to the lowly shoemaker he once was."
Nights and Weekends (2008),"There are many facets of the mumblecore subgenre that I love; part of that is the sense of realism it brings to the film that you don't really get from other dramas. I mean, who else would think to open a film with an awkward kerfuffle of removing clothes before sex? The reason films from directors like Noah Baumbach or Greta Gerwig gel so well with me is the combination of this naturalistic style with excellent directing and a more-often-than-not first-rate script to boot. Perhaps I can forgive some of Nights and Weekends due to it being a directorial debut (for Gerwig that is, Swanberg not so much), but on the whole, it just felt like it lacked purpose. There are definitely moments that feel reminiscent of the more polished Baumbach features like Frances Ha , but others feel like they're trying to evoke particular feelings for no reason as they lead to nowhere, especially with that weak ending."
A Brighter Summer Day (1991),"There's really so much I could say about A Brighter Summer Day . It's no doubt the biggest Yang film I've seen, and that's not even in reference to the runtime. In many ways, the film feels like a novel- an epic familial saga with an underlying story of crime, feeling like equal parts Yi Yi and City of God . Edward Yang has this incredible ability to make this particular event on which the film is based feel both substantial and personal, with each small moment having significant implications. The choreography of Yang's design is awe-inspiring, and I don't think I can think of a single director who does it better; the immaculate use of negative space and blocking is just bewildering as to how well it's executed. I don't think there's any uncertainty in me calling Yang one of my favourite directors now, an impressive feat considering I've only now seen three of his films."
Stalker (1979),"Going into Stalker as my first Tarkovsky film, I was under the impression from others that his films are very slow burns and the word ""boredom"" often appears. For the first hour or so, I felt the same way. Then, we, alongside The Writer, Professor, and Stalker, embark on a journey to find a room inside a forbidden zone that can grant you your deepest desire. The film at this point takes a turn for the metaphysical, with long takes of symbolic imagery and philosophical dialogue. Upon the revelation of this room, we as the viewer think we would enter it without a second thought, but Tarkovsky employs us to consider the cost of this decision. The camera follows our ensemble like a weary watcher, or silent witness, staring from afar through these eerie passageways. Upon their arrival at the room, the professor and the writer question whether they even want to go inside, doubting its legitimacy while also wondering whether it would be worth the cost even if it were real. They say that even if they did enter this room and achieve their desires, they would have a moral responsibility to make sure nobody else could do the same, as just because they are deemed to be good doesn't mean other people will be. This demonstrates a key principle of the film: wouldn't they be evil if they don't allow others the hope of salvation? This in turn becomes a hypocrisy in itself as the room is supposed to only allow in those with pure intentions. Going into the room forces you to confront your deepest desire, and whether it is what you expect it to be is the biggest challenge. We are transported to this otherworldly plane inside 'The Zone', where the normal rules of left and right do not apply. The Professor and The Writer, being both men of logic and reason, reject this notion and refuse to accept that the room exists solely in faith, a quality The Stalker has in abundance. While he is not lacking in belief, The Stalker is sparse in willpower and guides others to their desires while he cannot fulfil his own. Of course, Stalker can be seen as an allegory of faith and the tests that one must overcome along the way, but Tarkovsky allows the film to be much more open than that, and it could be seen as a search for the meaning of life from the perspective of doubters. Coming back to the cost that must be paid in order to achieve one's desires, it seemed fitting that my first experience of Tarkovsky's work was what caused him so early to make his last, and ultimately the film that ended up taking his life, as well as the lives of his wife and Anatoly Solonitsyn, caused by the contamination from a chemical plant near where they shot the film. It's hauntingly beautiful in a way that this selfish decision from Tarkovsky was the very thing that led to the tragic deaths of these people. It's this context that elevates Stalker to masterpiece status for some, and I wouldn't blame them. For a man who believed that man's purpose on Earth was to create profound works of art, he sure sacrificed everything in order to fulfil it."
The Invisible Man (1933),"So this is officially the oldest film I've seen, and wow, was I impressed. Not only was it wildly creative and impressive technically for the time, but it was also pretty funny too. I may have to watch more James Whale films."
Valerie and Her Week of Wonders (1970),"Valerie and Her Week of Wonders presents itself as a series of disjointed segments, where nothing really follows on from the last event. Whether this is just a means to obscure its pretty clearly exploitative plot, I'm unsure, but there's no doubt that the film is visually stunning. It's certainly a mastery of surrealism from Jireš, but despite this, I can't say I can overlook its downright disturbing qualities. I assume it was the intent for these scenes to be uncomfortable, but knowing that doesn't really take away from how uncomfortable they are. On the other hand, you can really feel what Jireš is going for here, controversial or not. The themes of naïveté, passion and sexuality all become apparent in this psychosexual fairytale of colliding imagery. Nevertheless, I just can't get past the earlier sentiments."
Vive L'Amour (1994),"We walk past strangers every day of our lives. They only really exist to us in those fleeting moments we interact with them, be that a simple glance or a conversation. It seems trivial to say, but of course, behind this interaction there's a whole different person-one with emotions, dreams, and troubles just the same as anyone else. For those few intimate moments, we are bonded by this commonality. Vive L'amour follows the intersecting lives of three strangers, all of whom are struggling to find their place in the world. Much like in Yang's Taipei Story , Tsai Ming-liang explores the search for connection in the rapidly evolving urban culture of Taipei, which so often feels indifferent and hostile. This feeling is only amplified by Tsai's camerawork and carefully crafted mise-en-scène, which allow the surroundings to feel cold and impersonal while the connections are real and tangible. There's a distinct contrast between the relationship, or lack thereof, between both May Lin and Hsaio-kang and Ah-jung. May Lin is struggling to find meaning in her work, so she seeks to fulfil her desires through her relationships with men. Upon meeting Ah-jung, she finally feels that she may be able to fill the hole she feels she has. Hsaio-kang attempts suicide in an apartment that isn't even his, showing his lack of attachment to anything in his life. By the end of the film, we see May Lin having sex with Ah-jung while Hsaio-kang masturbates under the bed. May Lin leaves, and Hsaio-kang then shares a deeply personal yet unreciprocated moment of intimacy with a sleeping Ah-jung before pulling away. May Lin is next seen weeping on a bench while the sounds of city traffic pass by. This scene lasts for almost 5 minutes. Both May Lin and Hsaio-kang end up alone, despite their shared moments of intimacy, just as if they were strangers on the street passing each other by. The city continues as it was, as if nothing had ever happened at all."
Kwaidan (1964),"""Some of the old tales of Japan have come down to us in curiously unfinished form. Why were they left unfinished? Perhaps the writer was lazy. Perhaps he had a quarrel with his publisher. Perhaps he was suddenly called away from his little desk and never returned. Perhaps Death stopped his writing brush in the middle of a sentence."" A guilty conscience. A broken promise. A lost tale. A swallowed soul. These four stories tie together the saga of Kwaidan . Based on traditional Japanese ghost stories and folklore, Kwaidan is nothing short of a work of art, with stunning set design and boasting some of the best visuals I've ever seen in film. Its anthological style allows the 3 hour runtime to breeze by, and the use of colour and lighting is simply masterful, immersing the viewer in its eerie atmosphere almost instantly. While it may not exactly be horrifying, it certainly carries an otherworldly sense of mystery behind it, a feeling especially prominent in my favourite of the four stories, ""The Woman in the Snow"", for which I could have watched a whole film on its own."
Snowpiercer (2013),"The first time I watched Snowpiercer, I can't say I was well versed in the world of cinema, let alone familiar with any of the works of South Korean auteur Bong Joon-ho. At that time, I thought it was a fine movie, certainly captivating in its premise, but somewhat limited by it at the same time. I mean, there's only so much you can explore within the confines of a moving train. Despite this restriction, Bong Joon-ho does manage to create a discourse on political structures, as well as societal classes and even environmental concerns. Albeit, it seems to try and tackle too much and winds up accomplishing too little, leading me to feel more or less the same about Snowpiercer as I did back then. Go figure."
Retribution (2006),"Retribution may not be as scary as Cure or Pulse , but one thing it does incredibly well is slowly peel back the layers of its meaning. It feels the most personal of the Kiyoshi Kurosawa films I've seen thus far, unravelling itself as a haunting love story, a substantial step away from the police procedural it begins as. This shift is more than tonal though; you can physically feel the atmosphere change throughout the film, and it's one of the things I admire most about Kurosawa as a filmmaker. From the precise set design to the practical effects to the manipulation of the sound, every aspect of a scene feels purposeful, and while it may seem simple, it's a level of mastery that most filmmakers wish they could achieve."
The Square (2017),"""If you place an object in a museum, does that make this object a piece of art?"" After watching Triangle of Sadness , I said I was excited to explore the rest of Östlund's oeuvre, and I'm so glad I finally did. The Square , much like Peele's Nope from last year, is a story about spectacle. But instead of being about our desperation to capture a spectacle, The Square explores our aversion to one. It questions the classification of art: what qualifies and what doesn't, and more importantly, who decides? Is it up to the cultural elite or the common man? I must say that I feel like Östlund has mastered the ability to create uncomfortable situations without there ever being an outburst or shouting match that results from it. These moments perfectly encapsulate the characters he's trying to portray while often being hilarious at the same time. But again, who am I to decide what's uncomfortable and what isn't, and why does one moment of insincerity make me more uncomfortable than another? These are all questions that Östlund begs of the viewer throughout The Square , and Claes Bang in the leading role does excellently to tie them all together. All the themes of power, masculinity, and class imbalance coalesce through his characterisation, and they come together brilliantly throughout the film. A first of two Palme d'Or wins for Östlund, and it would be hard to argue that it wasn't deserved."
Maelström (2000),Can I get some French fries with that French fish?
Kicking and Screaming (1995),"I can't tell whether this comforts or terrifies me considering I'm graduating this year. Oh god, I'm graduating this year."
Ivan's Childhood (1962),"Ivan's Childhood is so impeccably shot and crafted by Tarkovsky- the camerawork and usage of blocking are just phenomenal. It follows the story of a boy so burdened by the experience of war that he knows nothing else besides it; his innocence stripped away just as quickly as his family was. Tarkovsky manages to depict the severity of the war-torn landscapes while also allowing the film to feel deeply human, with the connections between this boy and the soldiers, but that feeling is annulled by the film's overwhelming bleakness. So much so that at times it felt like a horror film, and at the end it gives us a glimpse of what Ivan's life could have been."
Black Girl (1966),"There's no doubt Black Girl is effective in its messaging on colonialism, which acts as a sort of prison that stops someone like Diouana from living her life to the fullest- a notion that her employers, or more aptly, slavers, take for granted. On a technical level, the film is most certainly lacking, but at times it almost adds to the humble charm of Sembène's debut. It's absolutely an important film on imperialism and social divide, as well as being the first feature film ever released by a sub-Saharan African director, but it definitely lacks depth in parts, and I just wish it held the same level of complexity that the epilogue had throughout."
