film_key,review_clean
"Crazy, Stupid, Love. (2011)",top tier rom com even if that robbie and jessica subplot is a bit strange
Wolfs (2024),"not awful. I feel like the script lets it down, they had such good chemistry but it just wasn't funny enough"
Thunderbirds (2004),"god i love this so much, but damn why's everyone's lips so red?"
The House (2017),"I love the running gags, I love the physical comedy, I love how completely unrealistic it is - bring back these sort of comedies pleaseee they are perfect to watch on a sunday evening"
Brothers (2024),how do amazon keep making these god awful movies that even make netflix originals look good
Rise of the Planet of the Apes (2011),"Just as good as the first time watching, really appreciate the big variation of primates 🐒🦧🦍"
27 Dresses (2008),bennie and the jets scene carrieddd they really were chucking out these rom coms in the 2010s who was funding these things
War for the Planet of the Apes (2017),"so gooood, well made and emotional love that Maurice has a little goatie beard"
Dune: Part Two (2024),"need to see this in IMAX again asap although watching it at home does take away from the spectacle it did mean i could focus on the actual plot, proud to say I think I almost understand it now"
An Almost Christmas Story (2024),"really liked this little short, nice story but wonderful stop motion animation"
A Christmas Carol (1999),"this is good but it truly does not compare to the muppets version, i fear the muppets really captured what Dickens envisioned"
The Other Guys (2010),"love movies like this. just silly little jokes and loads of running gags, glad this is my first movie of 2025"
Kingdom of the Planet of the Apes (2024),"Still think this is brilliant on rewatch and i like how does feel more like a fantasy world the previous trilogy, however none of the characters are quite as compelling as OG Caesar"
The Fall Guy (2024),"As expected my mum loved this movie, I still think it's a really fun time - great soundtrack, great actors, ironically bad stunt work"
You're Cordially Invited (2025),yipeee that was a waste of 2 hours thanks amazon!!
The Pink Panther (2006),"just a complete classic, this could easily be the 15th time i watched this also modern comedies don't have enough fun running gags anymore man"
Mamma Mia! (2008),i just want to crawl through my tv and live within this movie. the vibes are so insane
The Pink Panther 2 (2009),i am a simple man. slapstick physical comedy and funny voices will never fail to make me giggle.
Black Widow (2021),"forgot how solid most of this movie is, just never quite finds its feet. exaggerated by a third act its vfx budget truly couldn't cover"
No Hard Feelings (2023),"icl i only rewatched this for the maneater piano cover still think it's pretty damn good, it's suprisingly good at balancing the tones and not making maddie look like an absolute nonce"
Bridesmaids (2011),"love it when every single actor is a complete type cast, makes me feel all cosy and familiar 🙂‍↕️ some absolutely insane line delivery, top tier 2011 era comedy ""what woman gives another woman a trip to paris? lesbiann"""
Kandahar (2023),"very boring and hard to follow, however, admittedly i was distracted and had a little sleep halfway through sound design was impressive tho"
The Terminal (2004),"surprised me how well this works actually very feel good. very sweet. but also very longg, should have been closer to 90 mins"
Flight Risk (2025),"this movie actually stumped me. i genuinely don't know how stuff like this gets made let alone warrants a theatrical release the creative decisions, the directions, the vfx, the plot... all baffling"
The Thursday Murder Club (2025),"the book was much better and i didn't even like the book that much... it's got a nice energy and the cast is stackedd, but unfortunately it plays like a very typical Netflix movie where every single thing is explained to you. absolutely no trust in the audience to figure anything out for themselves, although maybe that was intentional with an older target audience in mind 🤔"
Deep Cover (2025),guys i'm scared why did i actually quite enjoy a prime original movie?!?
The Maiden Heist (2009),the most nothing movie i've seen in ages. genuinely wtf was that. i'm not exaggerating when i say it actually ruined my entire sunday and why was that man always fucking naked what a weirdo
Rye Lane (2023),yayy love truly is real 🥰. brb gonna start gonna start crying in unisex toilets 3rd watch of my comfort 80 min film no regrets
28 Days Later (2002),i love how they filmed this on a webcam really adds to the atmosphere
Mickey 17 (2025),"not as good on a rewatch tbh, like it's still funny and interesting but just doesn't flow particularly well"
Death of a Unicorn (2025),"feel like this doesn't commit enough to being either scary, campy or funny so it's just a bit bland shame because the concept and the cast had so much potential"
The Roses (2025),"the most British film, with the most British setting, and cast you can imagine. and yet it's set in American for no conceivable reason other than giving an excuse for them to have a gun"
Karate Kid: Legends (2025),"first film i've ever watched that genuinely feels written with chatgpt, the pacing is absolutely dire, why do we spend the first half of the movie training a random pizza guy and then rush the actual karate kid stuff in the last 20 minutes"
Y2K (2024),not quite funny enough to be a bad movie in a funny ironic way extra half star for the credit song that came on while i was typing this
Roald Dahl's Matilda the Musical (2022),"wouldn't have watched this again but it was on BBC One at Christmas so simply had no choice does go a little bit crazy, got goosebumps at points got bored at others"
Eternity (2025),surprisingly funny but also gets the brain thinking. i like it Elizabeth olsen and mr Dua lipa are brilliant
Friendship (2024),sort of movie you put on to watch with ur mum and have to apologize for the suggestion half way thru cus it gets a little bit too strange and carried away kinda scary how i can see my future within craig (getting carried away doing a bit and it ruins my life)
The Naked Gun (2025),"somehow funnier on the second watch really appreciate the smaller gags that can go under the radar, him putting on the sterile glove, wiping his nose with it and then using his other hand got me gooooood"
M3GAN 2.0 (2025),"little bit funny, little bit crap, but somehow very watchable"
A Quiet Place: Day One (2024),"just not enough to the film to drive the film alongg, but i do like how scared and soppy joseph quinn's character"
Nobody 2 (2025),"this should have left this as a standalone movie, this did not feel unique at all i feel like i've seen this many times before"
The Drama (2026),i'm sorry Rachel there's absolutely no need to be such a bitchhh
Send Help (2026),someone put me on a tropical island rn i want to see how i'd do sooo bad
Now You See Me: Now You Don't (2025),"don't get me wrong this is NOT very good, but l why was it kinda enjoyable..?"
Masters of the Universe (2026),"surprisingly enjoyable (yes even Jared Leto) very rare that a movie has such good vfx, and is consistently let down by the cheap looking costumes and props. everything looks like styrofoam and plastic"
Mortal Kombat II (2026),"i was flipping between enjoying this and thinking it's the worst movie ever every 5 minutes, it just feels like the didn't bother to write a script, or at least think of anything beyond it looking like the video games"
Spider-Man: Brand New Day (2026),"on paper this should be incredible, but i find myself not particularly bothered by it for some reason? for the first time in the mcu we could have had a proper grounded spider man story, but then they go ahead and use a completely new xmen character? just doesn't sit quite right"
The Rocky Horror Picture Show (1975),i'm all here for camp and funny little movies but come on guys this was just crap
The Mandalorian and Grogu (2026),"genuinely baffling why this was made, it was like mediocre episodes stitched together? they either need to kill grogu or let him talk, the waddling around is pissing me owf admittedly at times it did look dead good but other than that not a lot going for it"
Mayday (2026),"anyone other than ryan reynolds and this could have been half good, his delivery just comes off consistently insincere"
Supergirl (2026),they did Milly Alcock so dirty with this dreary fuckin movie. the antagonist needed to be something other than a weird nonce that they happen to come across
The Last Sunrise (2026),aha yeah that was soooo baddd 😏😏
Obsession (2025),"i'm never buying an etsy spell even for shits and gigs jesussss i wondered why Inde Navarrette was blowing up but WOW that performance was insane, fair play girl"
